id,check,adm.level,Bundesland,Landkreis,intervention,start,end,comment,reference,reference2
"1,CORRECT,1,,,speech,2020-03-13,,""Merkel,Steinmeier"",https://www.rnd.de/politik/steinmeier-zu-corona-epidemie-dauer-der-krise-noch-nicht-absehbar-PUQP6YC7SGPT2LHBU6TGUH5NIQ.html,https://www.nytimes.com/2020/03/11/world/europe/coronavirus-merkel-germany.html"
356,CORRECT,2,Mecklenburg-Vorpommern,,bars,2020-03-18,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/GVOBl%20Nr%206%20vom%2018.%20M%C3%A4rz%202020%20-%20Corona.pdf,
357,CORRECT,2,Mecklenburg-Vorpommern,,sports,2020-03-18,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/GVOBl%20Nr%206%20vom%2018.%20M%C3%A4rz%202020%20-%20Corona.pdf,
358,CORRECT,2,Mecklenburg-Vorpommern,,restaurants,2020-03-18,,limited,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/GVOBl%20Nr%206%20vom%2018.%20M%C3%A4rz%202020%20-%20Corona.pdf,
359,CORRECT,2,Mecklenburg-Vorpommern,,events,2020-03-18,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/GVOBl%20Nr%206%20vom%2018.%20M%C3%A4rz%202020%20-%20Corona.pdf,
360,CORRECT,2,Mecklenburg-Vorpommern,,restaurants,2020-03-22,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/4.AK_GVO_7_sonder.pdf,
361,CORRECT,2,Mecklenburg-Vorpommern,,distance,2020-03-23,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/2.AK_GVO_8_corona_sonder.pdf,
362,CORRECT,2,Mecklenburg-Vorpommern,,gatherings,2020-03-23,,hh+1,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/2.AK_GVO_8_corona_sonder.pdf,
363,CORRECT,2,Mecklenburg-Vorpommern,,masks recommended,2020-04-20,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/GVOBl.%20Nr.%2017%20vom%2017.4.2020%20-%20corona.pdf,
364,CORRECT,2,Mecklenburg-Vorpommern,,masks,2020-04-27,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/GVOBl.%20Nr.%2017%20vom%2017.4.2020%20-%20corona.pdf,
365,CORRECT,2,Mecklenburg-Vorpommern,,shops2,2020-04-20,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/GVOBl.%20Nr.%2017%20vom%2017.4.2020%20-%20corona.pdf,
366,CORRECT,2,Mecklenburg-Vorpommern,,kitas open,2020-04-20,,limited,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/KiTAStudie_Mai.pdf?__blob=publicationFile,
